Rank,Name,School,Grade,Position,Height,Weight,40 Time,Conference,Projected Round,Projected Team,Strengths,Weaknesses,Analysis,,
1,Arvell Reese,OSU,4.33,ILB,"6'4""",240,N/A,BIG 10,1st,TBD,N/A,N/A,N/A,,
2,Caleb Downs,OSU,4.29,S,N/A,N/A,N/A,BIG 10,1st,TBD,N/A,N/A,N/A,,
3,Jeremiyah Love,ND,4.28,RB,"6'0""",210,N/A,IND,1st,TBD,N/A,N/A,N/A,,
4,David Bailey,TTU,4.27,OLB,"6'3""",246,4.66,BIG 12,1st,TBD,"Explosive and impactful pass rusher who is coming off a dominant campaign. Quick, explosive, and athletic as well as strong for his size. Breaks through double-team blocks to penetrate the line of scrimmage, immediately changes direction or flattens off the edge and pursues plays from the back side with speed. Forceful, effectively uses his hands to protect himself and plays with outstanding balance as well as body control. Quickly gets back to playing form off the initial hit, stays with the action and slides laterally to make plays out to the flanks. Fast in every direction, easily bends off the edge and gives effort defending the run as well as the rushing the passer. Natural pass rusher with an array of moves to defeat opponents who consistently impacts games. Posted 13.5 sacks and 18 TFLs last season. Smart, disciplined and shows the ability to drop off the line of scrimmage and play in space. Stays with coverage assignments and makes plays when the ball is in the air. Crashes down the line to defend the run. Forceful and holds his ground against blocks by bigger linemen.",Lacks bulk and is easily out-positioned from the action. Marginally effective coming out of a three-point stance versus standing over tackle.,"Entering the season graded as a mid-to-late Day 2 pick, Bailey has shot up draft boards and now ranks as a top-five selection after his brilliant campaign in 2025. He's an explosive pass rusher who also defends the run and shows a variety of ability. While he has size limitations, Bailey should be a quick starter on Sundays and immediately produce standing over tackle in a 3-4 alignment.",,
5,Fernando Mendoza,IND,4.26,QB,"6'5""",225,N/A,BIG 10,1st,TBD,N/A,N/A,N/A,,
6,Rueben Bain Jr.,MIA,4.24,DE,N/A,N/A,N/A,ACC,1st,TBD,"Explosive pass rusher who consistently penetrates the line of scrimmage and impacts games. Powerful, nasty and attacks assignments. Consistently gets leverage on opponents, easily changes direction and immediately alters his angle of attack. Displays terrific hand technique to protect himself, bends off the edge then flattens and pursues from the back side with speed. Keeps his feet moving and holds his ground against double-team blocks. Gets off the snap with a great first step and easily moves around the field. Fluid when asked to twist or stunt. Does more than pin his ears back and rush up the field, rather he reads plays, remains disciplined and works to defend the run.",Easily controlled by blocks or out-positioned from plays. Gets caught up in the trash moving laterally. Arm size will pose a problem for some teams.,"Over the past three seasons, Bain has combined for 31 TFLs and 19.5 sacks while forcing four fumbles. And though his sack totals are not outstanding, he's been a consistent menace for opponents, constantly penetrating the line of scrimmage and forcing quarterbacks to leave the pocket or move their feet. He offers scheme versatility and comes with upside, though Bain needs to add bulk to his frame.",,
7,Sonny Styles,OSU,4.23,OLB,"6'4.5""",235,4.63,BIG 10,1st,TBD,N/A,N/A,N/A,,
8,Spencer Fano,UTAH,4.21,T,"6'6""",302,N/A,BIG 12,1st,TBD,"Three-year starter who lined up at both left and right tackle. Athletic, agile and explosive. Quickly gets into blocks, stays square and shows the ability to slide in pass protection. Blocks with proper lean, gets his hands into defenders and anchors at the point. Strong run blocker who turns defenders from the line to open up lanes. Displays blocking vision, quickly gets to the second level and adjusts to hit a moving target. Keeps his feet moving and displays solid range off the edge.",Could do a better job sinking his butt at the line of scrimmage and starting with better knee bend. Solid run blocker but by no means a dominant lineman who drives defenders off the ball.,"Fano has been a consistent offensive tackle for Utah, displaying consistent progress in his game, and he comes with upside. He must fill out his frame and get stronger, yet hes an athletic right tackle who should quickly break into the starting lineup on Sundays.",,
9,Francis Mauigoa,MIA,4.2,T,"6'6""",329,N/A,ACC,1st,TBD,"Athletic right tackle who blocks with consistent fundamentals. Quickly gets off the snap, plays with leverage and displays terrific footwork on the right side. Slides off the edge in pass protection, quickly gets his hands into defenders and keeps his feet moving. Quick to the second level, squares into linebackers and seals them from the action. Patient, stays square and steers opponents from the action. Displays terrific blocking vision, picks up stunts or twists and makes good use of blocking angles.",Doesn't get much movement run blocking or really finish blocks. Shows stiffness blocking in motion.,Mauigoa has been a consistent and effective right tackle at Miami the past two seasons and comes with upside as well as growth potential. He has starting ability as a rookie and will only get better as he physically matures and enters an NFL weight training program,,
10,T.J. Parker,CLEM,4.19,OLB,"6'2""",258,N/A,ACC,1st,TBD,"Explosive and athletic pass rusher with a versatile game. Agile, quick and smooth. Fires off the snap with a terrific first step, easily changes direction and flattens off the edge. Displays speed pursuing plays down the line of scrimmage. Possesses a closing burst bearing down on the quarterback. Uses his hands well, plays with leverage and knocks opponents back with a violent punch. Consistently plays with proper knee bend and fluidly moves about the field. Quickly gets outside the box to the sidelines in pursuit while also displaying the ability to flip his hips and drop into coverage. Instinctive, quickly locates the ball handler and works to make plays. Shows a variety of pass-rushing moves. Flashed dominance during Senior Bowl practice.","Lacks great bulk and gets out-positioned from the action. Coming off a streaky, disappointing season where he disappeared for long stretches.","After a sophomore campaign which he totaled 19.5 TFLs and 11 sacks, Parker watched his production cut in half with just 9.5 TFLs and five sacks last season. He's an explosive edge rushing athlete with a variety of skill and a high upside, but Parker must tap into his prior play and improve on the dominance he showed in 2024.",,
11,Carnell Tate,OSU,4.18,WR,"6'3""",195,N/A,BIG 10,1st,TBD,N/A,N/A,N/A,,
12,Peter Woods,CLEM,4.17,DT,"6'2""",315,N/A,ACC,1st,TBD,"Athletic defensive tackle who was also used as a short-yardage ball carrier for Clemson. Fires off the snap with a terrific first step, quickly penetrates the gaps and easily changes direction. Agile, fluid when asked to twist or stunt and plays with consistent leverage. Effective with his hands, slides off blocks and works to make plays against the run or as a pass rusher. Gets down the line of scrimmage in pursuit and nicely redirects to ball handlers. Explosive and flashes strength in his lower body and the ability to knock blockers off the line of scrimmage.",Not a stout tackler and has ball handlers running through his arms. Gets out-positioned by a single blocker on occasion. Not an elite pass rusher for an athletic lineman.,"Woods has flashed ability as a dominant force at the past two seasons. He's an interior defensive lineman that will get looks at defensive end in certain three-man fronts. Though his potential is off the charts, Woods is a long way from being NFL-ready and must really polish his game, improve his playing strength and take everything to the next level.",,
13,Jordyn Tyson,ASU,4.16,WR,N/A,N/A,N/A,BIG 12,1st,TBD,"Fluid and natural pass catcher who is feared by opponents and given a large cushion to work. Fluid releasing off the line of scrimmage and quickly gets in and out of routes. Stays low on exit and positions himself to make the reception. Possesses quick as well as strong hands, displays incredible focus as well as concentration and makes a lot of difficult receptions. Extends his hands to offer the quarterback a target and snatches the ball out of the air away from his frame. Plays heads-up football and comes back into the clearing to make himself an available target. Always on the same page with his quarterback. Possesses sensational eye/hand coordination and a sense of timing and battles with his hands to separate from opponents. Lays out or extends to make the difficult catch and gets vertical and contorts to come away with the ball. Works hard even when he's not involved in the action.","Lacks top-end speed and isnt a true vertical threat. Has been slowed by injury for more than a year, playing in just nine games last season while missing the College Football Playoff contest the prior year.","Tyson is a natural pass catcher with a smooth, fluid style and reliable hands that catch everything thrown in his direction. He beats opponents with football smarts as much as he does physical skills and would be a great addition to a timing offense.",,
14,Mansoor Delane,LSU,4.15,CB,"5'11""",192,4.52,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
15,CJ Allen,UGA,4.14,ILB,N/A,N/A,N/A,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
16,Kayden McDonald,OSU,4.13,DT,N/A,N/A,N/A,BIG 10,1st or 2nd,TBD,N/A,N/A,N/A,,
17,Makai Lemon,USC,4.12,WR,"5'11""",190,N/A,BIG 10,1st or 2nd,TBD,N/A,N/A,N/A,,
18,Avieon Terrell,CLEM,4.11,CB,"5'11""",180,N/A,ACC,1st or 2nd,TBD,"Skilled cornerback with solid ball skills. Quick flipping his hips in transition off the line, mixes it up with receivers and dives around the field to defend passes. Effective backed off the line of scrimmage, quickly diagnoses plays and tracks the pass in the air then shows good hands for the interception. Sticks with opponents everywhere on the field, has a nice move to the throw and competes. Gets vertical to defend passes or make the interception, effectively times pass defenses and does a nice job covering receivers on crossing patterns. Has an explosive burst to the play out of his plant, wraps up tackling and brings opponents down in the open field.",Occasionally shows hesitation in his game. Has less-than-desirable size and gets outmatched by larger receivers. Must be more consistent pedaling in reverse.,"Starting on the Clemson defense the past two seasons, Terrell combined for 21 PBUs while intercepting two passes. The younger brother to Atlanta Falcons cornerback A.J. Terrell, the Clemson junior has a lot of upside in his game, yet he would be best playing in a zone system or backed off the line on Sundays.",,
19,Jermod McCoy,TENN,4.1,CB,N/A,N/A,N/A,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
20,Keldric Faulk,AUB,4.09,DE,N/A,N/A,N/A,SEC,1st,TBD,N/A,N/A,N/A,,
20,Kenyon Sadiq,ORE,4.09,TE,"6'3""",245,N/A,BIG 10,2nd,TBD,N/A,N/A,N/A,,
21,Anthony Hill Jr.,TEX,4.08,ILB,N/A,N/A,N/A,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
22,Chris Brazzell II,TENN,4.07,WR,N/A,N/A,N/A,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
23,KC Concepcion,TAMU,4.05,WR,N/A,N/A,N/A,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
